LON, LAT
120.688138182, 31.3962852894
120.68813718, 31.396286788
120.688136078, 31.3962882864
120.688135076, 31.396289885
120.688133974, 31.3962913833
120.688132972, 31.3962928819
120.68813187, 31.3962943803
120.688130868, 31.3962958788
120.688129766, 31.3962973772
120.688128764, 31.3962988758
120.688127662, 31.3963003741
120.68812666, 31.3963018727
120.688125558, 31.3963033711
120.688124556, 31.3963048696
120.688123454, 31.396306368
120.688122452, 31.3963078666
120.68812135, 31.3963093649
120.688120348, 31.3963108635
120.688119246, 31.3963123619
120.688118143, 31.3963138602
120.688117142, 31.3963153588
120.688116039, 31.3963168572
120.688115038, 31.3963183557
120.688113935, 31.3963198541
120.688112934, 31.3963213527
120.688111831, 31.396322851
120.688110729, 31.3963243494
120.688109727, 31.396325848
120.688108625, 31.3963273463
120.688107623, 31.3963288449
120.688106521, 31.3963303433
120.688105419, 31.3963318417
120.688104417, 31.3963333402
120.688103315, 31.3963348386
120.688102313, 31.3963363371
120.688101211, 31.3963378355
120.688100109, 31.3963393339
120.688099107, 31.3963408325
120.688098005, 31.3963423308
120.688096903, 31.3963438292
120.688095901, 31.3963453278
120.688094799, 31.3963468261
120.688093697, 31.3963483245
120.688092695, 31.3963498231
120.688091593, 31.3963513214
120.688090491, 31.3963528198
120.688089489, 31.3963543184
120.688088387, 31.3963558167
120.688087284, 31.3963573151
120.688086282, 31.3963588137
120.68808518, 31.3963603121
120.688084078, 31.3963618104
120.688082976, 31.3963632088
120.688081974, 31.3963647073
120.688080872, 31.3963662057
120.68807977, 31.3963677041
120.688078768, 31.3963692026
120.688077666, 31.396370701
120.688076564, 31.3963721994
120.688075462, 31.3963736978
120.68807446, 31.3963751963
120.688073358, 31.3963766947
120.688072256, 31.3963781931
120.688071153, 31.3963796914
120.688070051, 31.3963811898
120.688069049, 31.3963826884
120.688067947, 31.3963841867
120.688066845, 31.3963856851
120.688065743, 31.3963871835
120.688064641, 31.3963885818
120.688063639, 31.3963900804
120.688062537, 31.3963915788
120.688061435, 31.3963930771
120.688060333, 31.3963945755
120.688059231, 31.3963960739
120.688058229, 31.3963975724
120.688057127, 31.3963990708
120.688056024, 31.3964005692
120.688054922, 31.3964020676
120.68805382, 31.3964035659
120.688052718, 31.3964050643
120.688051616, 31.3964065627
120.688050614, 31.3964079612
120.688049512, 31.3964094596
120.68804841, 31.396410958
120.688047308, 31.3964124563
120.688046206, 31.3964139547
120.688045103, 31.3964154531
120.688044001, 31.3964169514
120.688042899, 31.3964184498
120.688041797, 31.3964199482
120.688040795, 31.3964214467
120.688039693, 31.3964229451
120.688038591, 31.3964243435
120.688037489, 31.3964258418
120.688036387, 31.3964273402
120.688035285, 31.3964288386
120.688034183, 31.396430337
120.68803308, 31.3964318353
120.688031978, 31.3964333337
120.688030876, 31.396434732
120.688029774, 31.3964362304
120.688028672, 31.3964377288
120.68802757, 31.3964392272
120.688026468, 31.3964407255
120.688025366, 31.3964422239
120.688024263, 31.3964437223
120.688023161, 31.3964451206
